episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,-4.999999999999998,-4.999999999999998,50,None,0.3126679538190365,0.3619190411269665
2,-4.999999999999998,-4.999999999999998,50,None,0.3667147220671177,0.4253615286946297
3,-4.999999999999998,-4.999999999999998,50,None,0.4543992115557194,0.24947204500436782
4,-4.999999999999998,-4.999999999999998,50,None,0.32393983080983163,0.3705327115952969
5,-4.999999999999998,-4.999999999999998,50,None,0.32873965986073017,0.3620166040956974
6,-4.999999999999998,-4.999999999999998,50,None,0.39737535163760185,0.289160877764225
7,-8.700000000000001,1.2999999999999985,37,Villain,0.3453945354432673,0.29555176440122966
8,-4.999999999999998,-4.999999999999998,50,None,0.317873228341341,0.42293732836842535
9,-4.999999999999998,-4.999999999999998,50,None,0.26658278807997704,0.28876405403017996
10,-4.999999999999998,-4.999999999999998,50,None,0.27808671176433564,0.4535438841953874
11,-4.999999999999998,-4.999999999999998,50,None,0.4741911542415619,0.40481400638818743
12,2.8,-7.2,22,Hero,0.4019801357591694,0.5548919507048347
13,-4.999999999999998,-4.999999999999998,50,None,0.40954848006367683,0.565068603977561
14,-4.999999999999998,-4.999999999999998,50,None,0.38450837433338164,0.4477604718506336
15,-5.8,4.2,8,Villain,0.5142101868987083,0.6356947238091379
16,-4.999999999999998,-4.999999999999998,50,None,0.47548669096082447,0.6919387208670378
17,-4.999999999999998,-4.999999999999998,50,None,0.5919180366769433,0.7543149504065514
18,-9.000000000000002,0.9999999999999982,40,Villain,0.6509435656480491,0.9536959818564356
19,4.800000000000001,-5.199999999999999,2,Hero,0.6418692767620087,0.7744872272014618
20,2.6999999999999997,-7.300000000000001,23,Hero,0.4880968854641137,0.865950364275309
21,-4.999999999999998,-4.999999999999998,50,None,0.7900991552509368,0.8951251604780555
22,-4.999999999999998,-4.999999999999998,50,None,0.8347739804908634,0.9335792454890907
23,3.0999999999999996,-6.9,19,Hero,0.520973168705639,0.8260202872517862
24,-4.999999999999998,-4.999999999999998,50,None,0.8418328882753849,0.8343007324635983
25,4.4,-5.6,6,Hero,0.7989786540468534,0.441250564220051
26,3.5,-6.5,15,Hero,0.5902492513259252,0.9453174670537313
27,1.9999999999999991,-8.0,30,Hero,0.7350260649555518,0.8623114496469497
28,3.7,-6.3,13,Hero,0.6553421169519424,0.8793846887464707
29,-4.999999999999998,-4.999999999999998,50,None,0.8831771281547844,0.8050576399639249
30,4.0,-6.0,10,Hero,0.5460699453949929,0.9824879109859467
31,4.9,-5.1,1,Hero,0.8044580221176147,0.9898634552955627
32,-4.999999999999998,-4.999999999999998,50,None,0.9678841352462768,0.9644081844389438
33,-4.999999999999998,-4.999999999999998,50,None,0.8861403297260404,0.8705978902801871
34,4.6000000000000005,-5.3999999999999995,4,Hero,0.491019569337368,0.9995250552892685
35,-5.3999999999999995,4.6000000000000005,4,Villain,0.9835606813430786,0.9954967796802521
36,-4.999999999999998,-4.999999999999998,50,None,0.9011224321275949,0.9865021789073944
37,-5.1,4.9,1,Villain,0.812700092792511,0.999416708946228
38,3.7,-6.3,13,Hero,0.7004983081267431,0.9996551046004662
39,3.4000000000000004,-6.6,16,Hero,0.8163765156641603,0.9987827837467194
40,-4.999999999999998,-4.999999999999998,50,None,0.8142980299144983,0.9725732741039246
41,3.6000000000000005,-6.3999999999999995,14,Hero,0.7657948434352875,0.999548899275916
42,4.7,-5.3,3,Hero,0.989798347155253,0.9999550183614095
43,3.5,-6.5,15,Hero,0.5737449606259664,0.9978688518206279
