episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,-4.999999999999998,-4.999999999999998,50,None,0.6030201479047537,0.5759269255399704
2,-4.999999999999998,-4.999999999999998,50,None,0.6713792081922293,0.5438637174665928
3,-4.999999999999998,-4.999999999999998,50,None,0.43835662588477137,0.45930734343826773
4,-4.999999999999998,-4.999999999999998,50,None,0.44092133674770595,0.5437962144613266
5,-4.999999999999998,-4.999999999999998,50,None,0.446840805336833,0.3742684968933463
6,-11.7,8.3,17,Villain,0.32251309077529344,0.29298967035377727
7,-4.999999999999998,-4.999999999999998,50,None,0.431907571926713,0.310961575768888
8,-14.000000000000002,5.999999999999998,40,Villain,0.4297119012102485,0.41824687547050415
9,-13.8,6.199999999999998,38,Villain,0.4536670751771645,0.45196392681253583
10,-11.5,8.5,15,Villain,0.4221962253252665,0.38404986187815665
11,-10.799999999999999,9.200000000000001,8,Villain,0.345993229188025,0.4685567934066057
12,-11.299999999999999,8.700000000000001,13,Villain,0.3433586536691739,0.3659411691702329
13,-12.8,7.199999999999999,28,Villain,0.3614085681204285,0.4676717296242714
14,-13.600000000000001,6.399999999999999,36,Villain,0.34874128591683173,0.42199094345172244
15,-4.999999999999998,-4.999999999999998,50,None,0.32957126304507256,0.38170398406684397
16,-14.200000000000001,5.799999999999999,42,Villain,0.47860117939611274,0.3691619542383012
17,-4.999999999999998,-4.999999999999998,50,None,0.5663648539781571,0.3358626341819763
18,-14.899999999999999,5.100000000000001,49,Villain,0.4617474253232382,0.36578524629680476
19,-4.999999999999998,-4.999999999999998,50,None,0.3297676412761211,0.3279922496527433
20,-4.999999999999998,-4.999999999999998,50,None,0.2998828975856304,0.36305816382169726
21,-12.0,8.0,20,Villain,0.6082074157893658,0.4466435231268406
22,-4.999999999999998,-4.999999999999998,50,None,0.3668316292017698,0.3051885812729597
23,-4.999999999999998,-4.999999999999998,50,None,0.4536297398805618,0.372310024946928
24,-4.999999999999998,-4.999999999999998,50,None,0.45591215781867506,0.3512493392825127
